Date,Close,High,Low,Open,Volume,50_MA,RSI
2025-02-24,403.2596740722656,408.6198287275297,398.58825743588903,407.7614192904554,26443700,,
2025-02-25,397.17083740234375,401.18349019975926,395.9730546936776,400.3649855487621,29387400,,
2025-02-26,398.99749755859375,402.860400830509,393.5275288045757,397.28064827533655,19619000,,
2025-02-27,391.8106994628906,404.9964840093174,391.45137377356565,400.53467393026557,21127400,,
2025-02-28,396.26251220703125,396.9013540385077,385.86162375466716,391.94046026830176,32845700,,
2025-03-03,387.778076171875,398.0891633417286,385.4523593369203,398.0891633417286,23007700,,
2025-03-04,387.8978576660156,391.86058386063223,380.30181761040467,382.6974135187692,29342900,,
2025-03-05,400.2851257324219,400.9339589862258,388.09750890861034,388.62653647287385,23433100,,
2025-03-06,396.1627197265625,401.4130601425524,391.9604125552081,393.557486671848,23304600,,
2025-03-07,392.5892639160156,394.07652376953155,384.83351327034705,391.601087821307,22034100,,
2025-03-10,379.46337890625,385.69193466137494,376.5287638766263,385.1329632711281,32840100,,
2025-03-11,379.7528381347656,385.29265558349334,376.2193166501511,378.30548307291184,30380200,,
2025-03-12,382.5676574707031,384.5140963348653,378.2555969008229,382.2482670126177,24253600,,
2025-03-13,378.0758972167969,384.6139126915579,376.75833925298997,382.4578672121625,20473000,,
2025-03-14,387.84796142578125,389.51491455417886,378.81455773398244,379.0840519928303,19952800,,40.21297649653896
2025-03-17,387.98773193359375,391.99036302361236,384.8634626840814,385.9913968692823,22474300,,43.691741605256716
2025-03-18,382.81719970703125,386.6601507855219,380.4016513456866,386.36071271152235,19486900,,39.37327930808343
2025-03-19,387.1093444824219,388.9659214939022,383.29633715100766,384.8235322758774,19185500,,46.790252789417714
2025-03-20,386.131103515625,391.07204471614995,382.5776297310475,385.0331131975468,18470500,,42.73859320496142
2025-03-21,390.54302978515625,391.0221306945889,382.09851071654674,382.5177544739553,39675900,,52.10456238612153
2025-03-24,392.35968017578125,394.67543616141086,389.09568331150246,394.67543616141086,21004500,,53.31062620323108
2025-03-25,394.4358825683594,395.63366532055824,391.9205113732519,393.19816458592396,15775000,,44.87585577069088
2025-03-26,389.2554016113281,394.5856126855185,387.85797313035886,394.27618318122023,16108400,,44.05907875154534
2025-03-27,389.8642578125,391.5212195564284,386.6900923994873,389.4151007040484,13766800,,47.53030112774239
2025-03-28,378.1058349609375,388.4169222438939,376.2392666189567,387.36882809704144,21632000,,48.73837326045598
2025-03-31,374.7021179199219,376.3790320336197,366.5670283067677,371.8573344110368,35184700,,45.56297285269248
2025-04-01,381.4896545410156,382.1484487727996,372.54608191207893,373.96346276032,19689500,,49.1147701369495
2025-04-02,381.43975830078125,384.3743428432238,375.92985398533636,377.2773862564683,16092600,,52.97969277214935
2025-04-03,372.42626953125,376.788287190408,368.67318036225987,374.10321411915555,30198000,,36.15345411501661
2025-04-04,359.18060302734375,373.9035742050073,358.8212773354498,363.4627502923482,49209900,,29.062688256853548
2025-04-07,357.2042236328125,370.32015981776436,344.1581969485817,350.2370336524557,50425000,,30.477798329710907
2025-04-08,353.9102783203125,372.9652928837084,349.6081786868937,367.585185716996,35868900,,24.304689164464904
2025-04-09,389.7744140625,392.50941370351666,352.45294739016697,352.8921435234206,50199700,,51.83104294478528
2025-04-10,380.65118408203125,383.19649903483815,367.12599611378243,381.3598744812396,38024400,,45.25336957222101
2025-04-11,387.7381896972656,389.3352333779351,378.19571053548395,379.9425037151649,23839200,,47.88913207654473
2025-04-14,387.0993347167969,393.92679674338564,383.5059256339463,392.4994245329486,19251200,,46.60444409290448
2025-04-15,385.0231628417969,391.17187833074144,383.4560325474498,387.79806728846995,17199900,,47.983251983998876
2025-04-16,370.92901611328125,380.9106912763521,367.32564600100716,379.97244183574617,21967800,,42.0045493156955
2025-04-17,367.1060485839844,373.6340726815441,366.2176953329466,373.0651098854367,20943700,,45.02169129986202
2025-04-21,358.4619140625,363.8121077971333,355.01825440362086,362.1551460624454,20807300,,42.98282651161061
2025-04-22,366.1478271484375,367.09606804173376,359.20055908423666,362.7141283475077,19485000,,43.42207082407922
2025-04-23,373.7039489746094,379.6929540391626,372.33643389707953,375.3708716590499,20545500,,46.88379206020797
2025-04-24,386.59027099609375,387.7381880213899,374.5024768665421,375.01155205300716,22232300,,55.53302941723452
2025-04-25,391.1319580078125,391.44138750936105,383.8952433175299,386.29083932956814,18973200,,63.392188344221225
2025-04-28,390.4432067871094,392.0202980494585,385.9315006090283,391.241728610284,16579400,,64.08391058606291
2025-04-29,393.31793212890625,394.3759872470841,389.66463540586307,390.5829324517716,14974000,,66.75721087838613
2025-04-30,394.53570556640625,395.93313400867555,383.73552563819743,389.58477271143016,36461100,,52.87039878485752
2025-05-01,424.6204528808594,436.1892106723326,424.12136912560175,430.3199808366381,58938100,,71.15955510426711
2025-05-02,434.48236083984375,438.63474141621873,429.20204608174254,430.948839257634,30757400,,71.90977774001495
2025-05-05,435.3707275390625,438.6946118778074,431.3181395047298,432.07675654489867,20136100,386.7202404785156,72.57281421774896
2025-05-06,432.5159606933594,436.92787448428356,430.3798980651205,431.408009380462,15104200,387.3053662109375,72.0481753603518
2025-05-07,432.555908203125,437.3171563878889,430.319992206568,433.04500054847074,23295300,388.0130676269531,82.90342826938907
2025-05-08,437.3670654296875,442.85698666150637,434.86165526525525,437.12748451655574,23491300,388.780458984375,87.12159102598706
2025-05-09,437.9260559082031,439.93235195021686,435.08127232610667,439.19371771814804,15324200,389.70276611328126,95.90586962630844
2025-05-12,448.4367370605469,448.5465208630377,438.9740982732109,445.12281367736733,22821900,390.7462506103516,96.03526650825579
2025-05-13,448.3169860839844,449.8441812103938,444.54388351816056,446.9594623818115,23618800,391.95702880859375,95.52930432671036
2025-05-14,452.1099853515625,453.0682176126866,447.3187935842875,447.3187935842875,19902800,393.2412713623047,94.97123198490506
2025-05-15,453.1300048828125,456.19000244140625,450.42999267578125,450.7699890136719,21992300,394.2981689453125,94.71577212466126
2025-05-16,454.2699890136719,454.3599853515625,448.7300109863281,452.04998779296875,23849800,395.4603143310547,95.73703624977804
2025-05-19,458.8699951171875,459.5899963378906,450.79998779296875,450.8800048828125,21336500,396.78592895507813,95.8398991356189
2025-05-20,458.1700134277344,458.3399963378906,454.32000732421875,455.5899963378906,15441800,398.3600616455078,94.82343148976712
2025-05-21,452.57000732421875,457.7799987792969,451.80999755859375,454.57000732421875,19216900,399.8164050292969,80.05421139161167
2025-05-22,454.8599853515625,460.25,453.8999938964844,454.95001220703125,18025600,401.2622515869141,76.17439720026215
2025-05-23,450.17999267578125,453.69000244140625,448.9100036621094,449.9800109863281,16876000,402.70433349609374,67.33364671322596
