Date,Close,High,Low,Open,Volume,50_MA,RSI
2025-02-24,130.2680206298828,138.57725415414035,130.06804206967678,136.5474420161462,251381100,,
2025-02-25,126.61835479736328,130.18802626376245,124.42856133510212,129.96804527013506,271428700,,
2025-02-26,131.26792907714844,133.71770077604796,128.478192299153,129.97805439122038,322553800,,
2025-02-27,120.13895416259766,134.99758082030266,119.99896764539281,134.9875872324259,443175800,,
2025-02-28,124.90850830078125,125.07849083366686,116.38929530836823,118.00914142194866,389091100,,
2025-03-03,114.04950714111328,123.68861991301428,112.26967207329028,123.49864257535764,411381400,,
2025-03-04,115.97933197021484,119.29902637351395,110.09987541363249,110.63982667322061,398163300,,
2025-03-05,117.28921508789062,118.26912068620358,114.49947076595478,117.56918811598004,284337900,,
2025-03-06,110.55982971191406,115.3393888375433,110.209863429875,113.51955654224739,321181900,,
2025-03-07,112.67964172363281,113.46957000648335,107.5501084934214,111.2397716760376,341755500,,
2025-03-10,106.97016143798828,111.83970852661247,105.45029700249104,109.88989097369002,366487400,,
2025-03-11,108.75,112.22967568900775,104.76036144852146,106.98015850635034,354865700,,
2025-03-12,115.73999786376953,116.76000213623047,112.87999725341797,114.12000274658203,323857500,,
2025-03-13,115.58000183105469,117.76000213623047,113.79000091552734,117.02999877929688,299033100,,
2025-03-14,121.66999816894531,121.87999725341797,118.1500015258789,118.61000061035156,277593500,,43.666280372865316
2025-03-17,119.52999877929688,122.88999938964844,118.02999877929688,122.73999786376953,255501500,,44.659593143062104
2025-03-18,115.43000030517578,119.0199966430664,114.54000091552734,118.0,299686900,,37.96797834975792
2025-03-19,117.5199966430664,120.44999694824219,115.68000030517578,117.2699966430664,273426200,,47.693636147169975
2025-03-20,118.52999877929688,120.19999694824219,116.47000122070312,116.55000305175781,248829700,,43.98449174220673
2025-03-21,117.69999694824219,117.98999786376953,115.41999816894531,116.94000244140625,266498500,,54.24591950627477
2025-03-24,121.41000366210938,122.22000122070312,119.33999633789062,119.87999725341797,228452500,,56.06529646211419
2025-03-25,120.69000244140625,121.29000091552734,118.91999816894531,120.55000305175781,167447200,,53.84891563277234
2025-03-26,113.76000213623047,118.83999633789062,112.70999908447266,118.7300033569336,293463300,,53.60549272193371
2025-03-27,111.43000030517578,114.44999694824219,110.66000366210938,111.3499984741211,236902100,,48.59872106872703
2025-03-28,109.66999816894531,112.87000274658203,109.06999969482422,111.48999786376953,229872500,,53.3216626664126
2025-03-31,108.37999725341797,110.95999908447266,103.6500015258789,105.12999725341797,299212700,,49.53922449250276
2025-04-01,110.1500015258789,110.19999694824219,106.47000122070312,108.5199966430664,222614000,,41.99828933855152
2025-04-02,110.41999816894531,111.9800033569336,106.79000091552734,107.29000091552734,220601200,,42.636982871316704
2025-04-03,101.80000305175781,105.62999725341797,101.5999984741211,103.51000213623047,338769400,,23.55604039983949
2025-04-04,94.30999755859375,100.12999725341797,92.11000061035156,98.91000366210938,532273800,,20.619765458407016
2025-04-07,97.63999938964844,101.75,86.62000274658203,87.45999908447266,611041300,,28.8968044705519
2025-04-08,96.30000305175781,105.8499984741211,94.45999908447266,103.80999755859375,476243400,,24.371998806571526
2025-04-09,114.33000183105469,115.0999984741211,97.52999877929688,98.88999938964844,612918300,,46.40534407490544
2025-04-10,107.56999969482422,110.86000061035156,99.1500015258789,109.37000274658203,437812400,,42.12898594282876
2025-04-11,110.93000030517578,111.55000305175781,107.4800033569336,108.5,313417300,,41.81249835342189
2025-04-14,110.70999908447266,114.29000091552734,109.06999969482422,114.11000061035156,264705000,,42.14173058436469
2025-04-15,112.19999694824219,113.62000274658203,110.5,110.97000122070312,228966900,,48.65655782932049
2025-04-16,104.48999786376953,106.79000091552734,100.44999694824219,104.55000305175781,397016900,,44.53026310346055
2025-04-17,101.48999786376953,104.47000122070312,100.05000305175781,104.44999694824219,290833400,,43.67656132762788
2025-04-21,96.91000366210938,99.44000244140625,95.04000091552734,98.7699966430664,288501100,,41.562457942635966
2025-04-22,98.88999938964844,99.80999755859375,97.27999877929688,98.77999877929688,241004800,,41.7424430875354
2025-04-23,102.70999908447266,104.80000305175781,102.0199966430664,104.5199966430664,247526000,,44.62567937839091
2025-04-24,106.43000030517578,106.54000091552734,103.11000061035156,103.4800033569336,220815000,,53.464011413383425
2025-04-25,111.01000213623047,111.91999816894531,105.7300033569336,106.8499984741211,251064700,,63.063209519175004
2025-04-28,108.7300033569336,110.37000274658203,106.0199966430664,109.69000244140625,207708500,,58.81979177221757
2025-04-29,109.0199966430664,110.19999694824219,107.44000244140625,107.66999816894531,170444300,,60.28793011462977
2025-04-30,108.91999816894531,108.91999816894531,104.08000183105469,104.47000122070312,235044600,,43.83685848919507
2025-05-01,111.61000061035156,114.94000244140625,111.30000305175781,113.08000183105469,236121500,,55.07283085710016
2025-05-02,114.5,115.4000015258789,113.37000274658203,114.18000030517578,190194800,,54.53621501601204
2025-05-05,113.81999969482422,114.66999816894531,112.66000366210938,112.91000366210938,133163200,112.02818893432617,53.90605625861685
2025-05-06,113.54000091552734,114.73999786376953,110.81999969482422,111.4800033569336,158525600,111.69362854003906,51.735757189076836
2025-05-07,117.05999755859375,117.68000030517578,112.27999877929688,113.05000305175781,206758800,111.50246139526367,68.2650489946643
2025-05-08,117.37000274658203,118.68000030517578,115.8499984741211,118.25,198428100,111.22450286865234,75.03154462596467
2025-05-09,116.6500015258789,118.2300033569336,115.20999908447266,117.3499984741211,132972200,111.15472381591798,85.4271407700323
2025-05-12,123.0,123.0,120.27999877929688,121.97000122070312,225023300,111.11655364990234,87.40304655043852
2025-05-13,129.92999267578125,131.22000122070312,124.47000122070312,124.9800033569336,330430100,111.4341633605957,88.51160482227974
2025-05-14,135.33999633789062,135.44000244140625,131.67999267578125,133.1999969482422,281180800,111.82137664794922,89.03592079685264
2025-05-15,134.8300018310547,136.3000030517578,132.66000366210938,134.2899932861328,226632600,112.1721923828125,86.13472600715117
2025-05-16,135.39999389648438,136.35000610351562,133.4600067138672,136.22000122070312,226542500,112.6689956665039,92.6720161171993
2025-05-19,135.57000732421875,135.8699951171875,132.38999938964844,132.38999938964844,193154600,113.12680297851563,92.64377292586694
2025-05-20,134.3800048828125,134.5800018310547,132.6199951171875,134.2899932861328,161514200,113.67499984741211,89.50963027510336
2025-05-21,131.8000030517578,137.39999389648438,130.58999633789062,133.05999755859375,270608700,114.13599990844726,81.43880731490462
2025-05-22,132.8300018310547,134.25,131.5500030517578,132.22999572753906,187344000,114.47779998779296,80.2975236876937
2025-05-23,131.2899932861328,132.67999267578125,129.16000366210938,130.0,198367700,114.79199981689453,78.0777707557611
